[Run] outdir = outputs/alt_cpu_v1
[Run] Data Version = 1
--- Using device: cpu ---
Lambda values (len=60): [0.00000000e+00 1.00000000e-04 1.26408831e-04 1.59791924e-04
 2.01991103e-04 2.55334591e-04 3.22765471e-04 4.08004057e-04
 5.15753157e-04 6.51957534e-04 8.24131895e-04 1.04177549e-03
 1.31689621e-03 1.66467310e-03 2.10429380e-03 2.66001319e-03
 3.36249156e-03 4.25048626e-03 5.37298998e-03 6.79193380e-03
 8.58560409e-03 1.08529617e-02 1.37191020e-02 1.73421564e-02
 2.19220171e-02 2.77113654e-02 3.50296130e-02 4.42805241e-02
 5.59744927e-02 7.07567017e-02 8.94427191e-02 1.13063495e-01
 1.42922242e-01 1.80666335e-01 2.28378201e-01 2.88690213e-01
 3.64929923e-01 4.61303647e-01 5.83128546e-01 7.37125976e-01
 9.31792326e-01 1.17786778e+00 1.48892889e+00 1.88213760e+00
 2.37918812e+00 3.00750389e+00 3.80175049e+00 4.80574834e+00
 6.07489027e+00 7.67919775e+00 9.70718407e+00 1.22707379e+01
 1.55112962e+01 1.96076482e+01 2.47857988e+01 3.13314383e+01
 3.96057048e+01 5.00651083e+01 6.32867179e+01 8.00000000e+01]
--- [Stage 1] Pretrain NN (regression) ---
[Train] it=  100 | val_mse=0.624861
[Train] it=  200 | val_mse=0.307498

=== [Alt Cycle 1/4] ADMM ===
[ADMM]   1/60 λ= 0.0000 | C2=10 C3=10 | minLinf=2.80e-01 | T=  0.29s | ARI=0.0000
[ADMM]  48/60 λ= 4.8057 | C2=10 C3=10 | minLinf=2.01e-02 | T=  0.50s | ARI=0.0000
[ADMM]  49/60 λ= 6.0749 | C2=10 C3=10 | minLinf=1.89e-02 | T=  0.50s | ARI=0.0000
[ADMM]  50/60 λ= 7.6792 | C2=10 C3=10 | minLinf=1.68e-02 | T=  0.50s | ARI=0.0000
[ADMM]  51/60 λ= 9.7072 | C2=10 C3=10 | minLinf=1.90e-02 | T=  0.50s | ARI=0.0000
[ADMM]  52/60 λ=12.2707 | C2=10 C3=10 | minLinf=1.59e-02 | T=  0.51s | ARI=0.0000
[ADMM]  53/60 λ=15.5113 | C2=10 C3=10 | minLinf=1.71e-02 | T=  0.50s | ARI=0.0000
[ADMM]  54/60 λ=19.6076 | C2=10 C3=10 | minLinf=1.57e-02 | T=  0.51s | ARI=0.0000
[ADMM]  55/60 λ=24.7858 | C2=10 C3=10 | minLinf=2.16e-02 | T=  0.50s | ARI=0.0000
[ADMM]  56/60 λ=31.3314 | C2=10 C3=10 | minLinf=2.12e-02 | T=  0.50s | ARI=0.0000
[ADMM]  57/60 λ=39.6057 | C2=10 C3=10 | minLinf=1.32e-02 | T=  0.50s | ARI=0.0000
[ADMM]  58/60 λ=50.0651 | C2=10 C3=10 | minLinf=1.45e-02 | T=  0.50s | ARI=0.0000
[ADMM]  59/60 λ=63.2867 | C2=10 C3=10 | minLinf=1.42e-02 | T=  0.50s | ARI=0.0000
[ADMM]  60/60 λ=80.0000 | C2=10 C3=10 | minLinf=1.57e-02 | T=  0.50s | ARI=0.0000
[Alt] pick Z* from lambda idx=0 (ARI=0.0000)
=== [Alt Cycle 1] Finetune NN with tether mu=1.0 ===
[Train] it=  100 | val_mse=0.388717

=== [Alt Cycle 2/4] ADMM ===
[ADMM]   1/60 λ= 0.0000 | C2=10 C3=10 | minLinf=9.52e-02 | T=  0.29s | ARI=0.0000
[ADMM]   2/60 λ= 0.0001 | C2=10 C3=10 | minLinf=9.60e-02 | T=  0.32s | ARI=0.0000
[ADMM]   3/60 λ= 0.0001 | C2=10 C3=10 | minLinf=9.78e-02 | T=  0.29s | ARI=0.0000
[ADMM]   4/60 λ= 0.0002 | C2=10 C3=10 | minLinf=9.92e-02 | T=  0.31s | ARI=0.0000
[ADMM]   5/60 λ= 0.0002 | C2=10 C3=10 | minLinf=9.91e-02 | T=  0.32s | ARI=0.0000
[ADMM]   6/60 λ= 0.0003 | C2=10 C3=10 | minLinf=1.00e-01 | T=  0.35s | ARI=0.0000
[ADMM]   7/60 λ= 0.0003 | C2=10 C3=10 | minLinf=1.01e-01 | T=  0.34s | ARI=0.0000
[ADMM]   8/60 λ= 0.0004 | C2=10 C3=10 | minLinf=9.98e-02 | T=  0.39s | ARI=0.0000
[ADMM]   9/60 λ= 0.0005 | C2=10 C3=10 | minLinf=9.89e-02 | T=  0.39s | ARI=0.0000
[ADMM]  10/60 λ= 0.0007 | C2=10 C3=10 | minLinf=9.80e-02 | T=  0.40s | ARI=0.0000
[ADMM]  11/60 λ= 0.0008 | C2=10 C3=10 | minLinf=9.75e-02 | T=  0.40s | ARI=0.0000
[ADMM]  12/60 λ= 0.0010 | C2=10 C3=10 | minLinf=9.72e-02 | T=  0.48s | ARI=0.0000
[ADMM]  13/60 λ= 0.0013 | C2=10 C3=10 | minLinf=9.71e-02 | T=  0.50s | ARI=0.0000
[ADMM]  14/60 λ= 0.0017 | C2=10 C3=10 | minLinf=9.69e-02 | T=  0.49s | ARI=0.0000
[ADMM]  15/60 λ= 0.0021 | C2=10 C3=10 | minLinf=9.69e-02 | T=  0.50s | ARI=0.0000
[ADMM]  16/60 λ= 0.0027 | C2=10 C3=10 | minLinf=9.68e-02 | T=  0.51s | ARI=0.0000
[ADMM]  17/60 λ= 0.0034 | C2=10 C3=10 | minLinf=9.70e-02 | T=  0.51s | ARI=0.0000
[ADMM]  18/60 λ= 0.0043 | C2=10 C3=10 | minLinf=9.74e-02 | T=  0.50s | ARI=0.0000
[ADMM]  19/60 λ= 0.0054 | C2=10 C3=10 | minLinf=9.77e-02 | T=  0.50s | ARI=0.0000
[ADMM]  20/60 λ= 0.0068 | C2=10 C3=10 | minLinf=9.82e-02 | T=  0.50s | ARI=0.0000
[ADMM]  21/60 λ= 0.0086 | C2=10 C3=10 | minLinf=9.75e-02 | T=  0.51s | ARI=0.0000
[ADMM]  22/60 λ= 0.0109 | C2=10 C3=10 | minLinf=9.30e-02 | T=  0.50s | ARI=0.0000
[ADMM]  23/60 λ= 0.0137 | C2=10 C3=10 | minLinf=8.38e-02 | T=  0.52s | ARI=0.0000
[ADMM]  24/60 λ= 0.0173 | C2=10 C3=10 | minLinf=7.36e-02 | T=  0.50s | ARI=0.0000
[ADMM]  25/60 λ= 0.0219 | C2=10 C3=10 | minLinf=7.56e-02 | T=  0.49s | ARI=0.0000
[ADMM]  26/60 λ= 0.0277 | C2=10 C3=10 | minLinf=7.71e-02 | T=  0.49s | ARI=0.0000
[ADMM]  27/60 λ= 0.0350 | C2=10 C3=10 | minLinf=7.10e-02 | T=  0.50s | ARI=0.0000
[ADMM]  28/60 λ= 0.0443 | C2=10 C3=10 | minLinf=4.31e-02 | T=  0.50s | ARI=0.0000
[ADMM]  29/60 λ= 0.0560 | C2=10 C3=10 | minLinf=8.95e-03 | T=  0.50s | ARI=0.0000
[ADMM]  30/60 λ= 0.0708 | C2=10 C3=10 | minLinf=7.55e-03 | T=  0.51s | ARI=0.0000
[ADMM]  31/60 λ= 0.0894 | C2=10 C3=10 | minLinf=1.11e-02 | T=  0.51s | ARI=0.0000
[ADMM]  32/60 λ= 0.1131 | C2=10 C3=10 | minLinf=1.01e-02 | T=  0.50s | ARI=0.0000
[ADMM]  33/60 λ= 0.1429 | C2=10 C3=10 | minLinf=5.69e-03 | T=  0.50s | ARI=0.0000
[ADMM]  34/60 λ= 0.1807 | C2=10 C3=10 | minLinf=1.59e-02 | T=  0.51s | ARI=0.0000
[ADMM]  35/60 λ= 0.2284 | C2=10 C3=10 | minLinf=1.57e-02 | T=  0.50s | ARI=0.0000
[ADMM]  36/60 λ= 0.2887 | C2=10 C3=10 | minLinf=1.82e-02 | T=  0.50s | ARI=0.0000
[ADMM]  37/60 λ= 0.3649 | C2=10 C3=10 | minLinf=1.54e-02 | T=  0.50s | ARI=0.0000
[ADMM]  38/60 λ= 0.4613 | C2=10 C3=10 | minLinf=1.89e-02 | T=  0.50s | ARI=0.0000
[ADMM]  39/60 λ= 0.5831 | C2=10 C3=10 | minLinf=2.43e-02 | T=  0.50s | ARI=0.0000
[ADMM]  40/60 λ= 0.7371 | C2=10 C3=10 | minLinf=1.74e-02 | T=  0.50s | ARI=0.0000
[ADMM]  41/60 λ= 0.9318 | C2=10 C3=10 | minLinf=1.78e-02 | T=  0.50s | ARI=0.0000
[ADMM]  42/60 λ= 1.1779 | C2=10 C3=10 | minLinf=1.86e-02 | T=  0.50s | ARI=0.0000
[ADMM]  43/60 λ= 1.4889 | C2=10 C3=10 | minLinf=1.26e-02 | T=  0.50s | ARI=0.0000
[ADMM]  44/60 λ= 1.8821 | C2=10 C3=10 | minLinf=2.08e-02 | T=  0.50s | ARI=0.0000
[ADMM]  45/60 λ= 2.3792 | C2=10 C3=10 | minLinf=2.16e-02 | T=  0.51s | ARI=0.0000
[ADMM]  46/60 λ= 3.0075 | C2=10 C3=10 | minLinf=1.58e-02 | T=  0.51s | ARI=0.0000
[ADMM]  47/60 λ= 3.8018 | C2=10 C3=10 | minLinf=2.48e-02 | T=  0.50s | ARI=0.0000
[ADMM]  48/60 λ= 4.8057 | C2=10 C3=10 | minLinf=1.53e-02 | T=  0.50s | ARI=0.0000
[ADMM]  49/60 λ= 6.0749 | C2=10 C3=10 | minLinf=1.97e-02 | T=  0.50s | ARI=0.0000
[ADMM]  50/60 λ= 7.6792 | C2=10 C3=10 | minLinf=1.84e-02 | T=  0.50s | ARI=0.0000
[ADMM]  51/60 λ= 9.7072 | C2=10 C3=10 | minLinf=1.64e-02 | T=  0.50s | ARI=0.0000
[ADMM]  52/60 λ=12.2707 | C2=10 C3=10 | minLinf=2.17e-02 | T=  0.50s | ARI=0.0000
[ADMM]  53/60 λ=15.5113 | C2=10 C3=10 | minLinf=1.26e-02 | T=  0.50s | ARI=0.0000
[ADMM]  54/60 λ=19.6076 | C2=10 C3=10 | minLinf=1.74e-02 | T=  0.50s | ARI=0.0000
[ADMM]  55/60 λ=24.7858 | C2=10 C3=10 | minLinf=1.70e-02 | T=  0.50s | ARI=0.0000
[ADMM]  56/60 λ=31.3314 | C2=10 C3=10 | minLinf=1.70e-02 | T=  0.50s | ARI=0.0000
[ADMM]  57/60 λ=39.6057 | C2=10 C3=10 | minLinf=1.95e-02 | T=  0.50s | ARI=0.0000
[ADMM]  58/60 λ=50.0651 | C2=10 C3=10 | minLinf=2.22e-02 | T=  0.50s | ARI=0.0000
[ADMM]  59/60 λ=63.2867 | C2=10 C3=10 | minLinf=1.37e-02 | T=  0.50s | ARI=0.0000
[ADMM]  60/60 λ=80.0000 | C2=10 C3=10 | minLinf=2.14e-02 | T=  0.50s | ARI=0.0000
[Alt] pick Z* from lambda idx=0 (ARI=0.0000)
=== [Alt Cycle 2] Finetune NN with tether mu=1.0 ===
[Train] it=  100 | val_mse=0.356476

=== [Alt Cycle 3/4] ADMM ===
[ADMM]   1/60 λ= 0.0000 | C2=10 C3=10 | minLinf=4.54e-02 | T=  0.28s | ARI=0.0000
[ADMM]   2/60 λ= 0.0001 | C2=10 C3=10 | minLinf=4.49e-02 | T=  0.30s | ARI=0.0000
[ADMM]   3/60 λ= 0.0001 | C2=10 C3=10 | minLinf=4.07e-02 | T=  0.36s | ARI=0.0000
[ADMM]   4/60 λ= 0.0002 | C2=10 C3=10 | minLinf=3.72e-02 | T=  0.37s | ARI=0.0000
[ADMM]   5/60 λ= 0.0002 | C2=10 C3=10 | minLinf=3.16e-02 | T=  0.39s | ARI=0.0000
[ADMM]   6/60 λ= 0.0003 | C2=10 C3=10 | minLinf=3.11e-02 | T=  0.38s | ARI=0.0000
[ADMM]   7/60 λ= 0.0003 | C2=10 C3=10 | minLinf=3.03e-02 | T=  0.37s | ARI=0.0000
[ADMM]   8/60 λ= 0.0004 | C2=10 C3=10 | minLinf=2.97e-02 | T=  0.43s | ARI=0.0000
[ADMM]   9/60 λ= 0.0005 | C2=10 C3=10 | minLinf=2.93e-02 | T=  0.47s | ARI=0.0000
[ADMM]  10/60 λ= 0.0007 | C2=10 C3=10 | minLinf=2.90e-02 | T=  0.44s | ARI=0.0000
[ADMM]  11/60 λ= 0.0008 | C2=10 C3=10 | minLinf=2.95e-02 | T=  0.50s | ARI=0.0000
[ADMM]  12/60 λ= 0.0010 | C2=10 C3=10 | minLinf=3.06e-02 | T=  0.50s | ARI=0.0000
[ADMM]  13/60 λ= 0.0013 | C2=10 C3=10 | minLinf=3.15e-02 | T=  0.50s | ARI=0.0000
[ADMM]  14/60 λ= 0.0017 | C2=10 C3=10 | minLinf=3.26e-02 | T=  0.50s | ARI=0.0000
[ADMM]  15/60 λ= 0.0021 | C2=10 C3=10 | minLinf=3.42e-02 | T=  0.50s | ARI=0.0000
[ADMM]  16/60 λ= 0.0027 | C2=10 C3=10 | minLinf=3.61e-02 | T=  0.49s | ARI=0.0000
[ADMM]  17/60 λ= 0.0034 | C2=10 C3=10 | minLinf=3.79e-02 | T=  0.49s | ARI=0.0000
[ADMM]  18/60 λ= 0.0043 | C2=10 C3=10 | minLinf=3.68e-02 | T=  0.50s | ARI=0.0000
[ADMM]  19/60 λ= 0.0054 | C2=10 C3=10 | minLinf=3.75e-02 | T=  0.50s | ARI=0.0000
[ADMM]  20/60 λ= 0.0068 | C2=10 C3=10 | minLinf=3.85e-02 | T=  0.50s | ARI=0.0000
[ADMM]  21/60 λ= 0.0086 | C2=10 C3=10 | minLinf=3.63e-02 | T=  0.50s | ARI=0.0000
[ADMM]  22/60 λ= 0.0109 | C2=10 C3=10 | minLinf=4.09e-02 | T=  0.50s | ARI=0.0000
[ADMM]  23/60 λ= 0.0137 | C2=10 C3=10 | minLinf=4.69e-02 | T=  0.50s | ARI=0.0000
[ADMM]  24/60 λ= 0.0173 | C2=10 C3=10 | minLinf=5.12e-02 | T=  0.49s | ARI=0.0000
[ADMM]  25/60 λ= 0.0219 | C2=10 C3=10 | minLinf=5.56e-02 | T=  0.49s | ARI=0.0000
[ADMM]  26/60 λ= 0.0277 | C2=10 C3=10 | minLinf=5.27e-02 | T=  0.50s | ARI=0.0000
[ADMM]  27/60 λ= 0.0350 | C2=10 C3=10 | minLinf=9.98e-03 | T=  0.49s | ARI=0.0000
[ADMM]  28/60 λ= 0.0443 | C2=10 C3=10 | minLinf=7.89e-03 | T=  0.50s | ARI=0.0000
[ADMM]  29/60 λ= 0.0560 | C2=10 C3=10 | minLinf=6.15e-03 | T=  0.50s | ARI=0.0000
[ADMM]  30/60 λ= 0.0708 | C2=10 C3=10 | minLinf=8.97e-03 | T=  0.50s | ARI=0.0000
[ADMM]  31/60 λ= 0.0894 | C2=10 C3=10 | minLinf=6.73e-03 | T=  0.49s | ARI=0.0000
[ADMM]  32/60 λ= 0.1131 | C2=10 C3=10 | minLinf=6.15e-03 | T=  0.50s | ARI=0.0000
[ADMM]  33/60 λ= 0.1429 | C2=10 C3=10 | minLinf=1.15e-02 | T=  0.50s | ARI=0.0000
[ADMM]  34/60 λ= 0.1807 | C2=10 C3=10 | minLinf=1.24e-02 | T=  0.50s | ARI=0.0000
[ADMM]  35/60 λ= 0.2284 | C2=10 C3=10 | minLinf=9.64e-03 | T=  0.50s | ARI=0.0000
[ADMM]  36/60 λ= 0.2887 | C2=10 C3=10 | minLinf=2.43e-02 | T=  0.50s | ARI=0.0000
[ADMM]  37/60 λ= 0.3649 | C2=10 C3=10 | minLinf=1.56e-02 | T=  0.49s | ARI=0.0000
[ADMM]  38/60 λ= 0.4613 | C2=10 C3=10 | minLinf=6.59e-03 | T=  0.50s | ARI=0.0000
[ADMM]  39/60 λ= 0.5831 | C2=10 C3=10 | minLinf=2.32e-02 | T=  0.50s | ARI=0.0000
[ADMM]  40/60 λ= 0.7371 | C2=10 C3=10 | minLinf=1.74e-02 | T=  0.50s | ARI=0.0000
[ADMM]  41/60 λ= 0.9318 | C2=10 C3=10 | minLinf=2.34e-02 | T=  0.50s | ARI=0.0000
[ADMM]  42/60 λ= 1.1779 | C2=10 C3=10 | minLinf=1.93e-02 | T=  0.51s | ARI=0.0000
[ADMM]  43/60 λ= 1.4889 | C2=10 C3=10 | minLinf=2.51e-02 | T=  0.50s | ARI=0.0000
[ADMM]  44/60 λ= 1.8821 | C2=10 C3=10 | minLinf=1.13e-02 | T=  0.50s | ARI=0.0000
[ADMM]  45/60 λ= 2.3792 | C2=10 C3=10 | minLinf=1.97e-02 | T=  0.50s | ARI=0.0000
[ADMM]  46/60 λ= 3.0075 | C2=10 C3=10 | minLinf=1.12e-02 | T=  0.51s | ARI=0.0000
[ADMM]  47/60 λ= 3.8018 | C2=10 C3=10 | minLinf=2.02e-02 | T=  0.51s | ARI=0.0000
[ADMM]  48/60 λ= 4.8057 | C2=10 C3=10 | minLinf=1.14e-02 | T=  0.51s | ARI=0.0000
[ADMM]  49/60 λ= 6.0749 | C2=10 C3=10 | minLinf=1.90e-02 | T=  0.49s | ARI=0.0000
[ADMM]  50/60 λ= 7.6792 | C2=10 C3=10 | minLinf=1.85e-02 | T=  0.51s | ARI=0.0000
[ADMM]  51/60 λ= 9.7072 | C2=10 C3=10 | minLinf=1.75e-02 | T=  0.50s | ARI=0.0000
[ADMM]  52/60 λ=12.2707 | C2=10 C3=10 | minLinf=1.36e-02 | T=  0.49s | ARI=0.0000
[ADMM]  53/60 λ=15.5113 | C2=10 C3=10 | minLinf=1.55e-02 | T=  0.50s | ARI=0.0000
[ADMM]  54/60 λ=19.6076 | C2=10 C3=10 | minLinf=1.79e-02 | T=  0.50s | ARI=0.0000
[ADMM]  55/60 λ=24.7858 | C2=10 C3=10 | minLinf=2.08e-02 | T=  0.50s | ARI=0.0000
[ADMM]  56/60 λ=31.3314 | C2=10 C3=10 | minLinf=2.23e-02 | T=  0.50s | ARI=0.0000
[ADMM]  57/60 λ=39.6057 | C2=10 C3=10 | minLinf=1.74e-02 | T=  0.49s | ARI=0.0000
[ADMM]  58/60 λ=50.0651 | C2=10 C3=10 | minLinf=1.61e-02 | T=  0.49s | ARI=0.0000
[ADMM]  59/60 λ=63.2867 | C2=10 C3=10 | minLinf=1.51e-02 | T=  0.49s | ARI=0.0000
[ADMM]  60/60 λ=80.0000 | C2=10 C3=10 | minLinf=2.16e-02 | T=  0.49s | ARI=0.0000
[Alt] pick Z* from lambda idx=0 (ARI=0.0000)
=== [Alt Cycle 3] Finetune NN with tether mu=1.0 ===
[Train] it=  100 | val_mse=0.339479

=== [Alt Cycle 4/4] ADMM ===
[ADMM]   1/60 λ= 0.0000 | C2=10 C3=10 | minLinf=4.16e-02 | T=  0.28s | ARI=0.0000
[ADMM]   2/60 λ= 0.0001 | C2=10 C3=10 | minLinf=3.49e-02 | T=  0.34s | ARI=0.0000
[ADMM]   3/60 λ= 0.0001 | C2=10 C3=10 | minLinf=3.35e-02 | T=  0.30s | ARI=0.0000
[ADMM]   4/60 λ= 0.0002 | C2=10 C3=10 | minLinf=3.27e-02 | T=  0.35s | ARI=0.0000
[ADMM]   5/60 λ= 0.0002 | C2=10 C3=10 | minLinf=3.16e-02 | T=  0.32s | ARI=0.0000
[ADMM]   6/60 λ= 0.0003 | C2=10 C3=10 | minLinf=3.13e-02 | T=  0.35s | ARI=0.0000
[ADMM]   7/60 λ= 0.0003 | C2=10 C3=10 | minLinf=3.06e-02 | T=  0.36s | ARI=0.0000
[ADMM]   8/60 λ= 0.0004 | C2=10 C3=10 | minLinf=3.10e-02 | T=  0.43s | ARI=0.0000
[ADMM]   9/60 λ= 0.0005 | C2=10 C3=10 | minLinf=3.12e-02 | T=  0.43s | ARI=0.0000
[ADMM]  10/60 λ= 0.0007 | C2=10 C3=10 | minLinf=2.98e-02 | T=  0.49s | ARI=0.0000
[ADMM]  11/60 λ= 0.0008 | C2=10 C3=10 | minLinf=2.96e-02 | T=  0.51s | ARI=0.0000
[ADMM]  12/60 λ= 0.0010 | C2=10 C3=10 | minLinf=2.85e-02 | T=  0.51s | ARI=0.0000
[ADMM]  13/60 λ= 0.0013 | C2=10 C3=10 | minLinf=3.04e-02 | T=  0.50s | ARI=0.0000
[ADMM]  14/60 λ= 0.0017 | C2=10 C3=10 | minLinf=3.03e-02 | T=  0.50s | ARI=0.0000
[ADMM]  15/60 λ= 0.0021 | C2=10 C3=10 | minLinf=3.16e-02 | T=  0.50s | ARI=0.0000
[ADMM]  16/60 λ= 0.0027 | C2=10 C3=10 | minLinf=3.22e-02 | T=  0.49s | ARI=0.0000
[ADMM]  17/60 λ= 0.0034 | C2=10 C3=10 | minLinf=3.31e-02 | T=  0.51s | ARI=0.0000
